id,match_id,period,minute,player,player_id,position,period,type,home_away,location_x,location_y,team,ball_recovery_outcome,duel_outcome,interception_outcome
b01ae001-94db-4d75-9491-059b44c7461c,3943043,2,58,Declan Rice,3943.0,Left Defensive Midfield,2,Duel,away,65.3,25.6,England,Ball Recovered,Lost In Play,
cf118a96-7358-485e-9d85-f81447d818bc,3943043,2,59,Marc Cucurella Saseta,17620.0,Left Back,2,Duel,home,15.1,5.5,Spain,Ball Recovered,Success In Play,
cd38bbe5-6c1b-4710-a041-fb5556b6b739,3943043,2,59,Bukayo Saka,22084.0,Right Wing,2,Duel,away,98.6,76.5,England,Ball Recovered,Won,
719ce0b3-42e7-4d27-b1da-a777f44a05b0,3943043,2,60,Daniel Carvajal Ramos,5721.0,Right Back,2,Duel,home,30.9,71.7,Spain,Ball Recovered,Lost Out,
0aaddaa7-7234-4b31-91a1-e1ce751ffe3b,3943043,2,60,Martín Zubimendi Ibáñez,24921.0,Right Defensive Midfield,2,Duel,home,27.0,33.0,Spain,Ball Recovered,Lost In Play,
6b89d9e0-4704-454b-b4ee-ffc807c2ad9e,3943043,2,62,Phil Foden,4354.0,Center Attacking Midfield,2,Duel,away,99.2,64.1,England,Ball Recovered,,
8b283bbe-c89d-4699-8ec5-f6e95cf972cb,3943043,2,66,Declan Rice,3943.0,Left Defensive Midfield,2,Duel,away,8.2,36.3,England,Ball Recovered,,
2b37a07b-39f8-4c0a-a0a5-d79bb7a23d8d,3943043,2,68,Mikel Oyarzabal Ugarte,6685.0,Center Forward,2,Duel,home,85.7,9.5,Spain,Ball Recovered,Success In Play,
d0b57552-1027-484a-9fa3-c6fb9c18538d,3943043,2,69,Robin Aime Robert Le Normand,22128.0,Right Center Back,2,Duel,home,112.9,33.0,Spain,Ball Recovered,,
2b9b73c4-9a60-4f12-8b16-e3f9e894f190,3943043,2,70,Cole Palmer,39461.0,Center Attacking Midfield,2,Duel,away,94.5,64.8,England,Ball Recovered,Success In Play,
2e840ee1-0128-4298-928c-770da4855250,3943043,2,70,Fabián Ruiz Peña,6655.0,Left Defensive Midfield,2,Duel,home,34.2,13.0,Spain,Ball Recovered,Success In Play,
0c1d77fc-19fe-48d4-909c-280b6fbf2458,3943043,2,74,Fabián Ruiz Peña,6655.0,Left Defensive Midfield,2,Duel,home,12.5,8.5,Spain,Ball Recovered,Lost Out,
2f5cc0c2-51c4-4c7d-8a83-71a3daf6ece1,3943043,2,77,Mikel Oyarzabal Ugarte,6685.0,Center Forward,2,Duel,home,113.9,33.6,Spain,Ball Recovered,,
ae12d868-7e7c-4adc-bf12-c43b88f3a39e,3943043,2,81,Martín Zubimendi Ibáñez,24921.0,Right Defensive Midfield,2,Duel,home,62.9,27.2,Spain,Ball Recovered,Success In Play,
9ef93ed2-4095-4cb8-8010-5ede3d539e12,3943043,2,82,Kyle Walker,3205.0,Right Back,2,Duel,away,20.4,66.8,England,Ball Recovered,Won,
9166a1ad-8079-48d9-a986-b92fc74b2ab4,3943043,2,82,Martín Zubimendi Ibáñez,24921.0,Right Defensive Midfield,2,Duel,home,92.3,12.2,Spain,Ball Recovered,Lost Out,
e8481c82-ef6d-4f2b-872f-c9809bbbe0aa,3943043,2,84,Luke Shaw,3382.0,Left Back,2,Duel,away,18.9,29.1,England,Ball Recovered,Lost In Play,
0493488e-f4fb-41f7-95c9-6f26efc1bae5,3943043,2,84,Declan Rice,3943.0,Left Defensive Midfield,2,Duel,away,18.7,34.5,England,Ball Recovered,Lost Out,
020d7512-29d2-4ca2-8eab-1a85245db6bd,3943043,2,87,Nicholas Williams Arthuer,68574.0,Left Wing,2,Duel,home,47.0,20.0,Spain,Ball Recovered,,
2941e61d-e125-4f00-8a96-f46cd720ee0e,3943043,2,89,Daniel Carvajal Ramos,5721.0,Right Back,2,Duel,home,5.3,44.6,Spain,Ball Recovered,,
c06e07a3-afd3-4f72-9c60-efab1ec6e72b,3943043,2,91,Mikel Merino Zazón,3042.0,Center Attacking Midfield,2,Duel,home,81.1,32.0,Spain,Ball Recovered,,
dcde307f-5109-438d-a49f-70da0b3b9584,3943043,2,92,Ivan Toney,3834.0,Left Center Forward,2,Duel,away,105.8,59.0,England,Ball Recovered,,
911ed36d-0462-41ff-8416-6573fc67b95a,3943043,1,2,Robin Aime Robert Le Normand,22128.0,Right Center Back,1,Ball Recovery,home,33.7,66.7,Spain,Ball Recovered,,
3c7f6138-6b3d-4fff-bbac-081bf1412b44,3943043,1,3,Robin Aime Robert Le Normand,22128.0,Right Center Back,1,Ball Recovery,home,43.5,39.1,Spain,Ball Recovered,,
